"chickID"	"nestID"	"easting"	"northing"	"species"	"sex"	"year"	"dateinseason"	"male"	"female"
"72"	"chick-104"	"nest-46"	321920	7557576	"Kittlitz's"	"M"	2014	49	1	0
"73"	"chick-111"	"nest-47"	321839	7557488	"Kittlitz's"	"M"	2014	64	1	0
"74"	"chick-112"	"nest-47"	321839	7557488	"Kittlitz's"	"M"	2014	64	1	0
"75"	"chick-105"	"nest-48"	321929	7557653	"Kittlitz's"	"M"	2014	51	1	0
"76"	"chick-106"	"nest-48"	321929	7557653	"Kittlitz's"	"M"	2014	51	1	0
"77"	"chick-107"	"nest-49"	323593	7560401	"Kittlitz's"	"F"	2014	54	0	1
"78"	"chick-108"	"nest-49"	323593	7560401	"Kittlitz's"	"M"	2014	54	1	0
"79"	"chick-130"	"nest-56"	320625	7553070	"Kittlitz's"	"F"	2015	57	0	1
"80"	"chick-131"	"nest-56"	320625	7553070	"Kittlitz's"	"M"	2015	57	1	0
"81"	"chick-100"	"nest-57"	319775	7556240	"Kittlitz's"	"F"	2015	56	0	1
"82"	"chick-101"	"nest-57"	319775	7556240	"Kittlitz's"	"F"	2015	56	0	1
"83"	"chick-171"	"nest-58"	319786	7556004	"Kittlitz's"	"M"	2015	60	1	0
"84"	"chick-172"	"nest-58"	319786	7556004	"Kittlitz's"	"F"	2015	60	0	1
"85"	"chick-179"	"nest-59"	319579	7556148	"Kittlitz's"	"F"	2015	69	0	1
"86"	"chick-181"	"nest-59"	319579	7556148	"Kittlitz's"	"F"	2015	71	0	1
"87"	"chick-175"	"nest-60"	319743	7556226	"Kittlitz's"	"M"	2015	65	1	0
"88"	"chick-176"	"nest-60"	319743	7556226	"Kittlitz's"	"M"	2015	65	1	0
"89"	"chick-186"	"nest-61"	319458	7556134	"Kittlitz's"	"M"	2015	73	1	0
"90"	"chick-187"	"nest-61"	319458	7556134	"Kittlitz's"	"F"	2015	73	0	1
"91"	"chick-183"	"nest-62"	319958	7554883	"Kittlitz's"	"M"	2015	71	1	0
"92"	"chick-184"	"nest-62"	319958	7554883	"Kittlitz's"	"F"	2015	72	0	1
"93"	"chick-188"	"nest-63"	319713	7554382	"Kittlitz's"	"F"	2015	76	0	1
"94"	"chick-191"	"nest-63"	319713	7554382	"Kittlitz's"	"M"	2015	77	1	0
"95"	"chick-26"	"nest-64"	320043	7553217	"Kittlitz's"	"F"	2015	56	0	1
"96"	"chick-129"	"nest-64"	320043	7553217	"Kittlitz's"	"M"	2015	56	1	0
"97"	"chick-127"	"nest-65"	319733	7553548	"Kittlitz's"	"M"	2015	56	1	0
"98"	"chick-128"	"nest-65"	319733	7553548	"Kittlitz's"	"M"	2015	56	1	0
"99"	"chick-134"	"nest-66"	320598	7553258	"Kittlitz's"	"F"	2015	69	0	1
"100"	"chick-135"	"nest-66"	320598	7553258	"Kittlitz's"	"M"	2015	69	1	0
"101"	"chick-132"	"nest-67"	320142	7553670	"Kittlitz's"	"F"	2015	59	0	1
"102"	"chick-133"	"nest-67"	320142	7553670	"Kittlitz's"	"M"	2015	59	1	0
"103"	"chick-146"	"nest-68"	321505	7555790	"Kittlitz's"	"F"	2015	60	0	1
"104"	"chick-169"	"nest-68"	321505	7555790	"Kittlitz's"	"F"	2015	60	0	1
"105"	"chick-145"	"nest-69"	321487	7555805	"Kittlitz's"	"M"	2015	60	1	0
"106"	"chick-170"	"nest-69"	321487	7555805	"Kittlitz's"	"M"	2015	60	1	0
"107"	"chick-147"	"nest-70"	321150	7556326	"Kittlitz's"	"F"	2015	69	0	1
"108"	"chick-148"	"nest-70"	321150	7556326	"Kittlitz's"	"F"	2015	69	0	1
"109"	"chick-152"	"nest-71"	321434	7555841	"Kittlitz's"	"M"	2015	72	1	0
"110"	"chick-153"	"nest-71"	321434	7555841	"Kittlitz's"	"F"	2015	72	0	1
"111"	"chick-149"	"nest-72"	321242	7556021	"Kittlitz's"	"F"	2015	70	0	1
"112"	"chick-150"	"nest-72"	321242	7556021	"Kittlitz's"	"F"	2015	70	0	1
"113"	"chick-151"	"nest-73"	321248	7556009	"Kittlitz's"	"F"	2015	71	0	1
"114"	"chick-154"	"nest-73"	321248	7556009	"Kittlitz's"	"F"	2015	72	0	1
"115"	"chick-157"	"nest-74"	321451	7555781	"Kittlitz's"	"F"	2015	76	0	1
"116"	"chick-158"	"nest-74"	321451	7555781	"Kittlitz's"	"F"	2015	76	0	1
"117"	"chick-159"	"nest-75"	321347	7556013	"Kittlitz's"	"M"	2015	78	1	0
"118"	"chick-160"	"nest-75"	321347	7556013	"Kittlitz's"	"M"	2015	78	1	0
"119"	"chick-155"	"nest-76"	321245	7556029	"Kittlitz's"	"F"	2015	74	0	1
"120"	"chick-156"	"nest-76"	321245	7556029	"Kittlitz's"	"M"	2015	74	1	0
"121"	"chick-161"	"nest-77"	320656	7555703	"Kittlitz's"	"M"	2015	60	1	0
"122"	"chick-162"	"nest-77"	320656	7555703	"Kittlitz's"	"F"	2015	60	0	1
"123"	"chick-163"	"nest-78"	320957	7556261	"Kittlitz's"	"F"	2015	60	0	1
"124"	"chick-164"	"nest-78"	320957	7556261	"Kittlitz's"	"F"	2015	59	0	1
"125"	"chick-24"	"nest-79"	320976	7556256	"Kittlitz's"	"M"	2015	59	1	0
"126"	"chick-25"	"nest-79"	320976	7556256	"Kittlitz's"	"M"	2015	59	1	0
"127"	"chick-165"	"nest-80"	320966	7556239	"Kittlitz's"	"M"	2015	78	1	0
"128"	"chick-166"	"nest-80"	320966	7556239	"Kittlitz's"	"M"	2015	78	1	0
"129"	"chick-119"	"nest-81"	321119	7554468	"Kittlitz's"	"F"	2015	63	0	1
"130"	"chick-120"	"nest-81"	321119	7554468	"Kittlitz's"	"M"	2015	63	1	0
"131"	"chick-123"	"nest-82"	321182	7554644	"Kittlitz's"	"F"	2015	92	0	1
"132"	"chick-124"	"nest-82"	321182	7554644	"Kittlitz's"	"F"	2015	92	0	1
"133"	"chick-140"	"nest-83"	320990	7554024	"Kittlitz's"	"M"	2015	98	1	0
"134"	"chick-141"	"nest-83"	320990	7554024	"Kittlitz's"	"F"	2015	98	0	1
"135"	"chick-121"	"nest-84"	320436	7553886	"Kittlitz's"	"F"	2015	91	0	1
"136"	"chick-122"	"nest-84"	320436	7553886	"Kittlitz's"	"M"	2015	91	1	0
"137"	"chick-138"	"nest-85"	321026	7554665	"Kittlitz's"	"M"	2015	95	1	0
"138"	"chick-139"	"nest-85"	321026	7554665	"Kittlitz's"	"F"	2015	95	0	1
"139"	"chick-142"	"nest-86"	321029	7554644	"Kittlitz's"	"M"	2015	98	1	0
"140"	"chick-194"	"nest-86"	321029	7554644	"Kittlitz's"	"F"	2015	99	0	1
"141"	"chick-144"	"nest-87"	321051	7754654	"Kittlitz's"	"F"	2015	98	0	1
"142"	"chick-192"	"nest-87"	321051	7754654	"Kittlitz's"	"M"	2015	98	1	0
"143"	"chick-167"	"nest-88"	321003	7554648	"Kittlitz's"	"M"	2015	106	1	0
"144"	"chick-168"	"nest-88"	321003	7554648	"Kittlitz's"	"M"	2015	106	1	0
"145"	"chick-195"	"nest-89"	323064	7556401	"Kittlitz's"	"F"	2015	100	0	1
"146"	"chick-196"	"nest-89"	323064	7556401	"Kittlitz's"	"M"	2015	100	1	0
"147"	"chick-143"	"nest-90"	321015	7554642	"Kittlitz's"	"M"	2015	98	1	0
"148"	"chick-193"	"nest-90"	321015	7554642	"Kittlitz's"	"F"	2015	99	0	1
"149"	"chick-136"	"nest-91"	321021	7554694	"Kittlitz's"	"M"	2015	93	1	0
"150"	"chick-137"	"nest-91"	321021	7554694	"Kittlitz's"	"M"	2015	95	1	0
"177"	"chick-37"	"nest-39"	321069	7556164	"White-fronted"	"F"	2013	62	0	1
"178"	"chick-42"	"nest-39"	321069	7556164	"White-fronted"	"F"	2013	63	0	1
"179"	"chick-43"	"nest-39"	321069	7556164	"White-fronted"	"F"	2013	64	0	1
"180"	"chick-83"	"nest-40"	319828	7553801	"White-fronted"	"M"	2013	119	1	0
"181"	"chick-84"	"nest-40"	319828	7553801	"White-fronted"	"M"	2013	119	1	0
"182"	"chick-5"	"nest-35"	319667	7556075	"White-fronted"	"M"	2013	51	1	0
"183"	"chick-13"	"nest-35"	319667	7556075	"White-fronted"	"M"	2013	50	1	0
"184"	"chick-46"	"nest-36"	319475	7556207	"White-fronted"	"F"	2013	72	0	1
"185"	"chick-47"	"nest-36"	319475	7556207	"White-fronted"	"M"	2013	72	1	0
"186"	"chick-1"	"nest-37"	319725	7554156	"White-fronted"	"M"	2013	78	1	0
"187"	"chick-2"	"nest-37"	319725	7554156	"White-fronted"	"M"	2013	78	1	0
"188"	"chick-54"	"nest-37"	319725	7554156	"White-fronted"	"M"	2013	77	1	0
"189"	"chick-57"	"nest-38"	320019	7554667	"White-fronted"	"M"	2013	78	1	0
"190"	"chick-58"	"nest-38"	320019	7554667	"White-fronted"	"M"	2013	78	1	0
"191"	"chick-59"	"nest-38"	320019	7554667	"White-fronted"	"M"	2013	78	1	0
"192"	"chick-97"	"nest-54"	320132	7553822	"White-fronted"	"M"	2014	37	1	0
"193"	"chick-98"	"nest-54"	320132	7553822	"White-fronted"	"M"	2014	37	1	0
"194"	"chick-113"	"nest-53"	320965	7555047	"White-fronted"	"F"	2014	46	0	1
"195"	"chick-114"	"nest-53"	320965	7555047	"White-fronted"	"M"	2014	46	1	0
"196"	"chick-89"	"nest-51"	319886	755010	"White-fronted"	"M"	2014	51	1	0
"197"	"chick-91"	"nest-51"	319886	755010	"White-fronted"	"F"	2014	51	0	1
"198"	"chick-90"	"nest-52"	319935	7556921	"White-fronted"	"M"	2014	51	1	0
"199"	"chick-94"	"nest-52"	319935	7556921	"White-fronted"	"F"	2014	53	0	1
"202"	"chick-109"	"nest-55"	321913	7557661	"White-fronted"	"M"	2014	58	1	0
"203"	"chick-110"	"nest-55"	321913	7557661	"White-fronted"	"F"	2014	59	0	1
"204"	"chick-177"	"nest-95"	319803	7556079	"White-fronted"	"F"	2015	69	0	1
"205"	"chick-178"	"nest-95"	319803	7556079	"White-fronted"	"F"	2015	69	0	1
"206"	"chick-180"	"nest-95"	319803	7556079	"White-fronted"	"F"	2015	70	0	1
"207"	"chick-189"	"nest-96"	319586	7555486	"White-fronted"	"F"	2015	77	0	1
"208"	"chick-190"	"nest-96"	319586	7555486	"White-fronted"	"M"	2015	77	1	0
"153"	"chick-18"	"nest-1"	320438	7559432	"Madagascar"	"M"	2010	47	1	0
"154"	"chick-19"	"nest-1"	320438	7559432	"Madagascar"	"F"	2010	47	0	1
"155"	"chick-61"	"nest-34"	320038	7553776	"Madagascar"	"F"	2013	74	0	1
"156"	"chick-62"	"nest-34"	320038	7553776	"Madagascar"	"M"	2013	74	1	0
"157"	"chick-71"	"nest-29"	320488	7555485	"Madagascar"	"F"	2013	81	0	1
"158"	"chick-72"	"nest-29"	320488	7555485	"Madagascar"	"M"	2013	81	1	0
"159"	"chick-73"	"nest-31"	320156	7554891	"Madagascar"	"F"	2013	81	0	1
"160"	"chick-74"	"nest-31"	320156	7554891	"Madagascar"	"M"	2013	83	1	0
"161"	"chick-69"	"nest-32"	319460	7556323	"Madagascar"	"F"	2013	78	0	1
"162"	"chick-70"	"nest-32"	319460	7556323	"Madagascar"	"M"	2013	78	1	0
"163"	"chick-81"	"nest-33"	321072	7555770	"Madagascar"	"M"	2013	114	1	0
"164"	"chick-82"	"nest-33"	321072	7555770	"Madagascar"	"F"	2013	114	0	1
"165"	"chick-48"	"nest-30"	319986	7555167	"Madagascar"	"M"	2013	73	1	0
"166"	"chick-49"	"nest-30"	319986	7555167	"Madagascar"	"M"	2013	73	1	0
"167"	"chick-117"	"nest-50"	321587	7555087	"Madagascar"	"M"	2014	59	1	0
"168"	"chick-118"	"nest-50"	321587	7555087	"Madagascar"	"F"	2014	60	0	1
"169"	"chick-173"	"nest-92"	319680	7556082	"Madagascar"	"M"	2015	64	1	0
"170"	"chick-174"	"nest-92"	319680	7556082	"Madagascar"	"M"	2015	64	1	0
"171"	"chick-182"	"nest-93"	320080	7555571	"Madagascar"	"F"	2015	71	0	1
"172"	"chick-185"	"nest-93"	320080	7555571	"Madagascar"	"M"	2015	73	1	0
"173"	"chick-99"	"nest-94"	319357	7556086	"Madagascar"	"M"	2015	56	1	0
"174"	"chick-102"	"nest-94"	319357	7556086	"Madagascar"	"M"	2015	58	1	0
